exercise_id,exercise_name,body_region,target_muscles,joint_actions,movement_type,clinical_indications,contraindications,difficulty,required_equipment,starting_position,execution_instructions,sets,repetitions,duration,rest_period,frequency,progression_criteria,regression_criteria,regression_options,clinical_rationale,benefits,common_compensations,common_mistakes,precautions,safety_warnings,safety_tips,stop_criteria,expected_outcomes,video_url_placeholder,image_placeholder,evidence_level,clinical_references
EX0001,Quad Sets,knee,quadriceps,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",easy,none,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform quad sets for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress when swelling is stable and a 10-second contraction is pain-free.,"Regress if glute squeezing instead of quadriceps activation appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",glute squeezing instead of quadriceps activation,glute squeezing instead of quadriceps activation,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0001,images/EX0001.png,High,See docs/references.md
EX0002,Straight Leg Raise,knee,quadriceps; hip flexors,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",easy,none,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform straight leg raise for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress when the knee stays locked without lag for 3 sets of 10.,"Regress if knee extension lag or lumbar arching appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",knee extension lag or lumbar arching,knee extension lag or lumbar arching,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0002,images/EX0002.png,High,See docs/references.md
EX0003,Heel Slides,knee,quadriceps; hamstrings,active or assisted joint movement toward comfortable end range,mobility,"stiffness, guarded movement, postoperative protection phase, or ROM loss","unstable joint, surgical restriction, suspected fracture, or severe escalating pain",easy,towel/slider,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform heel slides for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress when flexion improves without next-day swelling.,"Regress if hip hiking or forcing painful end range appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets mobility for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved comfortable ROM, reduced stiffness, and better movement confidence",hip hiking or forcing painful end range,hip hiking or forcing painful end range,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Stay below aggressive pain; respect surgical precautions and tissue irritability.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved comfortable ROM, reduced stiffness, and better movement confidence",https://example.org/videos/EX0003,images/EX0003.png,Moderate,See docs/references.md
EX0004,Short Arc Quad,knee,quadriceps,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",easy,bolster,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform short arc quad for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress when terminal extension is controlled for 3 sets.,"Regress if lifting the thigh instead of extending the knee appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",lifting the thigh instead of extending the knee,lifting the thigh instead of extending the knee,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0004,images/EX0004.png,High,See docs/references.md
EX0005,Terminal Knee Extension,knee,quadriceps; gluteals,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,resistance band,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform terminal knee extension for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress band resistance when full terminal extension is controlled.,"Regress if trunk sway or locking through the hip appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",trunk sway or locking through the hip,trunk sway or locking through the hip,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0005,images/EX0005.png,High,See docs/references.md
EX0006,Wall Squat,knee,quadriceps; gluteals,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,wall,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform wall squat for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress depth only if pain remains <=3/10 and alignment is maintained.,"Regress if dynamic knee valgus or excessive forward knee collapse appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",dynamic knee valgus or excessive forward knee collapse,dynamic knee valgus or excessive forward knee collapse,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0006,images/EX0006.png,High,See docs/references.md
EX0007,Mini Squat,knee,quadriceps; gluteals,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,none,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform mini squat for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress to deeper squat when control and symptoms are stable.,"Regress if heels lifting or knees drifting inward appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",heels lifting or knees drifting inward,heels lifting or knees drifting inward,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0007,images/EX0007.png,High,See docs/references.md
EX0008,Step-Up,knee,quadriceps; gluteals; calf,task-specific multi-joint movement and transfer practice,functional,"difficulty with transfers, gait, ADL, school, sport, or work tasks","unsafe vitals, inability to follow essential safety cues, or prohibited weight bearing",moderate,step,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform step-up for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress step height when ascent and descent are symmetrical.,"Regress if pushing off the trailing leg or hip drop appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets functional for knee rehabilitation with stage-specific loading and symptom-guided progression.,"better task independence, gait/transfers, and participation",pushing off the trailing leg or hip drop,pushing off the trailing leg or hip drop,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Use prescribed assistive devices and stop if gait safety deteriorates.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","better task independence, gait/transfers, and participation",https://example.org/videos/EX0008,images/EX0008.png,Moderate,See docs/references.md
EX0009,Lateral Step-Down,knee,quadriceps; gluteus medius,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",hard,step,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform lateral step-down for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,6,,90-150 seconds,3-5 days/week,Progress after controlled pelvic position and knee tracking.,"Regress if pelvic drop or knee valgus appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",pelvic drop or knee valgus,pelvic drop or knee valgus,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0009,images/EX0009.png,High,See docs/references.md
EX0010,Leg Press,knee,quadriceps; gluteals,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,leg press,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform leg press for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress load by 5-10% when pain and effusion stay stable.,"Regress if locking knees or excessive depth appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",locking knees or excessive depth,locking knees or excessive depth,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0010,images/EX0010.png,High,See docs/references.md
