condition_id,exercise_id,recommendation_priority,evidence_strength,stage_of_rehab,severity_range,minimum_pain_score,maximum_pain_score,mobility_requirement,contraindication_flag,contraindication_applies_if,progression_order,clinical_goal,rationale_for_condition,phase,priority,is_core
COND0001,EX0001,10,High,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",1,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",subacute,10,yes
COND0001,EX0002,9,High,chronic,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",2,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,9,yes
COND0001,EX0003,8,Moderate,maintenance,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",3,ROM,"Selected for Knee Osteoarthritis to address ROM deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,8,yes
COND0001,EX0004,7,High,acute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",4,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,7,yes
COND0001,EX0005,6,High,subacute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",5,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",subacute,6,yes
COND0001,EX0006,5,High,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",6,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,5,yes
COND0001,EX0007,4,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",7,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,4,yes
COND0001,EX0008,3,Moderate,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",8,function,"Selected for Knee Osteoarthritis to address function deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,3,yes
COND0001,EX0009,2,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",9,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,2,yes
COND0001,EX0010,1,High,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",10,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,yes
